img x1 y1 x2 y2
83759 69 93 410 473
189436 13 25 595 372
25557 19 19 544 384
83713 93 137 347 352
25328 7 20 490 479
24317 86 56 500 350
25418 18 68 467 433
26329 28 5 561 425
189476 29 15 437 268
23104 21 32 561 388
26116 39 41 555 406
190251 20 66 470 375
189693 40 20 522 357
25194 42 116 495 433
190026 156 57 505 357
189470 122 24 598 339
189037 47 6 453 330
26136 29 12 522 392
190249 48 20 479 350
83638 51 12 459 367
26188 153 175 420 398
22821 5 36 590 393
25219 15 27 493 447
25715 18 45 484 477
23533 19 27 390 256
190059 60 95 428 425
26761 17 11 579 377
189416 29 57 401 521
189489 14 20 376 301
189459 22 5 601 392
24155 6 79 430 526
189588 5 200 390 500
190175 10 29 485 477
22730 13 33 609 373
25620 28 118 495 462
25880 27 23 525 421
23808 11 50 564 391
25209 2 69 430 521
23186 65 10 605 379
189637 109 62 367 306
25393 1 52 430 503
190158 1 74 412 509
25348 7 25 496 470
22995 51 56 457 332
23653 40 39 552 398
25882 41 36 520 414
26647 45 54 460 475
25033 40 14 487 454
23949 9 10 503 427
189957 5 9 426 567
26388 2 93 428 495
99439 12 5 564 373
25259 15 62 482 437
25833 4 70 495 489
83791 5 37 566 405
189047 4 58 380 271
189517 14 36 423 552
190729 13 18 572 377
25090 16 28 529 423
99320 18 66 566 306
189970 40 54 584 374
25001 17 115 420 464
25834 80 25 558 375
189772 66 86 556 398
26343 7 112 384 542
190233 5 6 583 382
189406 10 4 628 320
189533 64 25 549 390
190736 6 229 404 576
83749 65 51 464 387
189965 45 5 539 422
189931 28 54 490 391
22810 47 69 610 349
26833 26 20 606 402
24023 76 64 527 367
190246 145 59 467 394
189959 17 22 495 431
25735 4 14 428 536
25767 29 39 495 377
99551 7 34 564 423
99465 54 64 522 377
190214 46 110 490 479
25588 25 60 412 521
24823 33 137 369 411
25396 68 59 522 406
24339 2 82 398 372
189564 20 30 596 386
26774 3 44 608 401
25281 29 52 392 500
99562 104 96 345 263
189927 63 5 606 341
189945 7 12 567 404
190111 20 144 427 526
190277 27 1 555 429
189722 7 5 562 418
22706 59 35 596 310
26630 54 43 521 357
25150 9 110 409 483
190002 1 39 412 335
25852 14 64 430 512
83722 10 19 557 400
83674 40 17 478 359
99433 112 74 448 328
23249 3 6 482 476
190066 114 65 396 271
24680 60 143 476 491
190229 26 85 470 458
25596 99 12 513 315
189543 13 42 459 343
25009 13 105 415 514
26389 48 28 529 426
190269 112 79 443 335
26276 9 108 429 481
26832 21 58 331 391
190141 21 44 606 389
26826 98 112 448 348
99577 28 10 399 290
189049 28 23 549 391
