img x1 y1 x2 y2
111624 25 22 470 464
49798 14 31 561 407
107836 68 10 508 396
152552 47 93 364 455
110507 31 22 431 454
51884 15 6 618 354
152402 22 37 588 379
50537 35 26 426 521
49732 15 10 594 385
152675 26 81 462 447
108674 100 45 508 380
152065 18 16 463 404
152349 17 122 400 470
152036 14 33 393 590
153205 54 27 482 420
152348 32 25 546 425
50026 34 34 465 420
51919 9 47 369 327
152953 46 18 515 395
107435 15 15 361 404
152480 16 19 551 414
112565 9 24 427 461
108627 5 58 360 493
107725 23 17 478 356
109446 18 20 484 477
110556 10 43 490 485
153266 4 14 484 481
51869 27 42 363 330
49815 12 28 398 554
107363 27 14 522 418
108524 34 9 490 371
152997 31 29 478 379
153094 10 25 426 427
108042 22 28 560 370
113217 92 56 428 387
107196 14 12 415 564
152125 12 15 478 365
110463 13 81 415 538
49838 39 90 459 418
107152 22 22 512 423
109854 31 27 467 462
50083 5 3 548 427
107598 9 42 489 359
51878 6 56 484 485
107611 54 25 434 269
152164 93 74 451 348
107505 12 25 473 310
107178 32 58 472 362
107300 42 35 467 470
107341 28 6 464 362
112486 14 27 476 483
109203 17 41 479 425
51940 12 21 390 296
49771 13 38 416 552
107480 58 15 328 308
113364 40 33 465 472
111076 54 102 446 443
107303 23 22 476 343
113371 15 27 484 472
50471 42 28 564 390
51965 116 38 487 305
152282 6 3 493 373
107130 31 25 475 468
111886 31 45 467 450
152167 12 10 437 368
50120 10 8 492 321
51933 70 54 412 331
50930 27 216 391 571
112405 1 185 274 451
107722 36 73 520 389
50873 63 30 468 384
152612 104 64 484 470
152028 2 4 431 557
112792 57 147 470 487
152033 12 15 479 362
112016 26 18 468 475
51886 55 25 528 418
152885 20 43 475 447
152779 12 50 376 358
107183 71 29 459 297
111000 28 66 467 366
106754 7 25 489 359
107259 124 22 532 366
107232 28 12 542 421
152654 178 29 457 256
109198 77 23 521 352
107373 9 28 358 343
108643 43 18 566 414
50673 15 16 590 364
152970 45 91 414 422
51793 86 50 492 373
107296 29 127 471 427
152201 6 12 622 323
107224 32 32 415 371
51895 73 18 447 300
108590 14 12 562 418
152141 18 19 558 418
108619 8 12 419 562
106904 21 17 556 387
50688 50 30 555 414
108203 70 54 572 365
107165 23 10 482 342
152559 29 54 476 439
107622 19 46 387 391
49865 52 135 403 587
152371 70 59 515 339
107506 189 79 446 340
51059 14 10 479 342
51936 22 15 645 363
51880 14 34 436 517
107412 57 20 347 278
107902 11 8 602 397
