img x1 y1 x2 y2
122191 24 6 589 404
58912 28 14 484 477
123403 29 12 487 435
56937 25 64 482 416
122606 34 41 512 387
54237 19 37 499 413
158425 22 10 594 402
158171 25 16 555 400
122808 28 50 476 479
122937 42 29 468 460
122656 39 16 548 402
123250 12 10 471 493
157985 94 27 514 267
122542 47 47 560 375
54824 131 50 439 348
56139 50 25 546 414
123097 17 10 476 462
56118 55 28 384 320
122878 12 35 490 468
122166 21 21 481 278
122081 18 28 382 281
42491 23 48 557 407
54551 18 18 329 464
56556 101 24 433 298
58920 10 48 422 531
59198 39 93 456 416
57355 14 22 465 481
122519 17 27 595 380
123265 7 37 473 479
55014 50 32 524 375
123356 79 37 547 399
158045 9 14 558 407
123096 28 43 468 441
122130 27 21 548 407
158152 10 12 544 420
122989 37 118 475 462
123056 26 22 482 466
122540 28 42 590 368
55011 32 45 429 357
54737 99 68 434 356
122447 54 18 551 413
158299 12 10 486 402
57979 26 72 395 400
123099 21 20 471 472
122591 12 20 481 460
122436 51 18 454 317
122356 21 37 462 357
58902 10 10 476 485
122675 34 18 537 404
158189 6 22 482 462
122255 51 18 573 339
157986 67 38 561 399
123057 31 41 473 472
158395 3 7 562 425
121996 19 10 585 405
158312 50 23 528 422
123171 34 83 484 489
123086 51 75 451 447
58078 17 22 481 491
57308 17 14 482 472
158203 10 5 549 420
58845 6 8 476 485
158118 9 25 591 369
122084 5 14 410 493
158281 57 15 549 405
158310 26 23 607 373
58702 32 19 533 393
54126 28 28 553 414
122958 31 45 479 470
55284 17 32 569 391
122274 14 12 553 407
54636 36 39 544 351
123425 6 8 479 481
57983 23 25 484 454
123409 4 33 489 447
42414 49 5 543 417
58557 20 14 487 479
123142 9 37 489 435
54866 42 34 495 374
55767 36 22 594 374
158258 7 8 577 388
158010 43 29 451 477
122496 30 64 572 379
122910 35 37 450 470
121879 9 7 555 414
158123 29 23 475 356
54633 50 47 464 345
121914 9 7 564 414
122647 48 33 353 318
54285 4 4 426 564
55748 76 9 485 327
157976 37 30 535 418
122283 53 57 546 392
122516 41 19 555 411
123221 25 20 473 470
42555 52 36 517 369
158024 1 9 557 423
54306 11 22 568 375
122108 13 13 569 392
54711 27 45 560 411
122611 87 31 496 237
158172 43 5 548 416
122445 37 67 415 543
55197 39 34 549 377
57933 20 31 473 462
123246 46 70 421 441
54478 20 13 585 390
123295 14 14 485 477
158055 7 6 582 404
123420 21 45 467 422
42407 12 25 557 414
57617 17 28 421 537
123251 23 16 487 481
42429 16 15 378 288
