img x1 y1 x2 y2
11189 1 16 428 548
10381 34 23 537 427
185210 43 37 506 395
185423 4 79 414 564
185562 19 11 602 390
11693 33 31 376 275
185237 34 36 551 422
185107 25 19 560 404
185212 21 54 553 407
185258 34 18 521 405
11715 10 19 468 307
8939 50 5 557 423
11696 13 18 520 330
185222 26 23 537 429
10482 31 45 412 509
185301 15 42 589 402
185241 1 0 569 429
185531 22 181 403 579
185777 6 106 496 495
185192 7 1 575 422
185126 12 7 564 423
185163 3 3 571 431
185250 23 19 535 416
185208 5 12 573 425
10736 8 55 426 543
185160 52 16 535 400
185645 110 125 516 372
185266 16 16 562 420
185225 19 16 564 418
185870 16 18 560 409
185459 15 18 487 483
184704 3 1 571 429
10160 28 22 467 435
184726 162 108 483 344
185668 24 51 563 391
185223 55 37 528 400
185401 21 21 484 362
185832 47 71 455 333
185229 7 12 562 425
185147 29 17 409 350
184739 60 14 456 265
185242 91 92 510 375
185161 14 19 557 418
11183 23 55 408 555
10818 28 63 522 375
185235 12 12 540 422
10623 1 2 493 491
185220 18 12 544 405
185303 7 6 608 371
11690 26 5 357 281
185709 67 192 393 502
185146 34 16 553 405
185142 45 37 533 411
9504 14 16 482 491
185254 63 54 513 396
11328 10 113 363 632
185206 9 12 569 420
185188 111 63 494 396
10926 88 48 555 425
9487 4 6 467 481
185270 86 54 486 380
11694 40 5 326 225
11612 17 31 424 531
185742 3 1 596 404
11192 52 14 513 418
9406 8 45 404 504
185809 103 79 490 334
185196 52 21 562 427
11469 6 54 462 487
184990 95 48 537 414
185120 5 10 569 429
11623 7 8 482 470
185190 52 37 555 411
185171 12 19 548 425
185992 39 16 560 409
184729 32 22 351 272
11477 32 64 454 414
185683 3 5 569 423
9124 28 54 456 433
11231 108 46 434 344
185204 70 92 481 395
185678 26 79 409 509
11734 11 3 332 247
184720 1 6 392 278
185587 9 20 490 493
185239 10 9 573 422
185186 34 54 535 413
8585 36 56 579 396
185559 7 9 517 422
8643 27 10 535 414
11685 48 1 454 331
185432 26 8 603 388
10820 4 20 355 452
10076 33 96 400 450
185643 68 25 530 395
185535 9 7 551 425
185262 16 14 566 413
185140 25 14 537 422
10798 4 48 426 555
185138 28 27 562 425
11365 15 18 485 487
185566 93 25 531 358
185649 173 86 477 315
185004 71 56 437 317
185216 93 57 521 418
10766 14 27 566 400
11728 14 19 569 429
8545 19 16 549 429
