img x1 y1 x2 y2
301290 57 32 474 395
299274 34 22 465 481
297096 12 33 416 512
292304 14 35 492 429
296698 45 39 489 472
235003 11 59 587 390
298280 15 14 478 479
288264 17 22 467 447
297537 1 41 496 481
297054 12 14 473 475
292163 17 41 473 481
233292 48 49 498 380
259959 21 18 551 425
295982 75 35 479 427
290948 29 43 473 475
270902 24 33 593 383
289334 18 25 476 464
236428 27 14 562 407
292809 28 22 465 429
299247 9 25 475 466
285913 15 18 481 483
270901 26 34 475 365
294179 26 43 485 481
298846 30 7 549 414
296861 73 70 448 472
298227 15 33 482 485
293467 54 52 485 379
287185 15 22 460 477
270880 18 9 459 365
292027 31 39 473 470
296470 25 22 468 468
270874 45 18 533 375
292178 18 22 475 475
293237 6 41 481 479
292746 21 29 481 454
296496 18 12 496 443
233235 44 11 592 370
290042 12 22 471 477
298218 21 31 479 472
292963 25 4 481 489
292436 23 29 482 495
300750 20 72 460 456
299612 75 34 483 364
299037 9 16 478 452
296098 23 33 484 477
233700 36 12 542 413
292103 15 16 473 458
294243 29 100 465 431
291581 10 41 407 481
297710 68 61 527 424
301622 27 25 571 413
299086 42 45 489 452
290846 32 64 448 462
299810 27 18 560 407
235370 62 29 465 360
291860 26 18 482 462
289903 30 28 536 396
288448 25 45 460 416
270876 6 6 482 360
300451 23 43 432 472
298682 9 52 422 528
299566 10 12 548 422
285430 17 24 409 538
288527 7 18 482 475
294924 36 19 548 382
292249 42 25 476 479
231630 40 11 560 396
293476 29 41 471 472
286688 77 19 551 413
292769 29 35 468 468
295259 7 6 490 495
231609 19 32 533 407
288397 32 62 465 468
231721 47 53 522 394
291508 23 56 476 479
284699 8 29 358 477
290940 23 10 479 479
286325 31 58 468 462
299952 23 31 409 533
297270 14 52 416 562
289414 21 45 473 414
289467 43 35 471 466
301022 6 27 489 481
292731 4 6 496 489
270891 9 12 492 364
270889 16 19 555 411
295770 18 22 460 495
299560 54 21 533 393
291827 3 8 484 477
299824 21 18 521 416
297131 19 43 553 422
292333 4 25 482 468
294131 34 43 471 458
270883 19 35 562 392
270875 68 30 515 353
301257 43 36 537 416
300509 21 14 530 380
270900 52 34 546 395
231428 27 19 551 413
297046 45 37 498 431
290296 14 20 484 472
234868 9 34 517 425
300081 37 18 533 414
292753 29 31 457 472
234877 30 78 596 397
236150 7 27 432 416
270881 24 36 469 357
289499 10 18 484 479
298213 12 14 468 466
286227 19 30 539 417
