img x1 y1 x2 y2
233805 21 10 594 389
234481 24 16 581 390
234362 117 4 495 280
233694 7 9 562 404
234763 16 24 628 354
233743 18 33 581 389
231993 10 5 560 418
317834 124 66 561 419
318116 7 31 478 468
235290 18 47 470 489
232479 30 28 600 387
235059 28 19 557 418
233451 8 4 320 479
234492 62 38 467 312
318344 20 33 475 478
234230 111 46 542 420
235735 15 18 590 397
233733 12 22 476 483
233495 25 16 468 393
271138 23 10 571 423
271147 48 22 459 301
234474 5 19 428 562
234022 32 27 523 386
317835 21 20 478 466
233881 5 44 529 401
234486 31 22 482 322
318437 14 14 473 479
233219 25 28 567 400
317841 29 45 462 464
317876 17 110 426 519
317790 54 43 525 379
235560 79 49 570 342
235181 42 30 484 314
271136 20 57 416 478
271130 25 62 405 562
318283 28 34 555 400
234837 66 81 558 422
231902 15 13 598 396
271146 37 19 567 410
233303 41 28 539 413
234082 15 14 345 470
234552 25 10 496 351
234188 84 34 515 423
234696 14 23 551 404
235407 50 30 537 405
235639 36 48 530 407
232337 5 5 600 399
232021 28 5 549 418
318045 32 22 465 485
317830 28 62 394 440
232414 3 32 569 427
233949 7 10 596 392
271148 18 6 492 370
234310 28 16 540 395
318318 39 103 405 468
234183 37 12 560 404
231875 22 23 591 389
317719 36 93 393 492
317923 29 58 451 468
271131 34 23 546 396
318087 12 25 493 479
235191 77 14 506 409
318032 25 22 450 485
271132 33 31 542 390
234139 15 102 322 481
233787 15 48 481 356
318487 37 72 418 422
318390 25 29 479 481
317980 23 20 492 491
317805 20 12 471 454
318453 26 25 484 466
234794 28 15 592 394
233860 12 18 395 293
234902 10 22 460 466
234091 17 59 462 339
317909 28 37 567 411
271135 45 13 519 434
234615 37 30 546 411
234163 72 55 555 425
317776 9 24 407 553
234525 15 9 482 362
235551 41 59 569 363
235615 75 60 559 413
234121 4 3 489 362
234358 3 7 564 396
318362 57 18 468 312
231861 9 41 476 458
318178 27 21 537 373
233353 61 19 521 404
234249 50 41 549 411
233214 21 18 549 398
271137 15 18 585 389
317915 41 30 533 405
317678 32 91 467 431
232215 48 61 526 395
235656 71 62 465 346
234725 9 20 481 458
318107 50 39 526 294
235697 6 14 475 354
233273 9 4 495 367
234134 25 39 495 345
235244 9 15 443 354
234014 32 19 548 387
318126 23 27 467 462
