img x1 y1 x2 y2
334827 19 30 537 375
334796 40 23 560 372
331137 11 61 389 476
334459 15 11 598 386
332606 17 6 382 311
335064 23 21 531 419
330859 61 64 553 320
332459 13 24 353 275
334823 19 30 528 416
331136 6 42 435 379
330901 45 25 549 394
332798 7 53 442 472
332000 7 12 395 263
331213 9 8 474 493
334667 13 26 465 446
331424 5 7 390 274
331324 13 117 426 504
334783 30 18 587 384
330892 103 42 599 361
334633 18 9 569 396
331116 30 220 412 494
333794 4 182 431 521
331652 10 48 397 522
340241 38 12 579 315
335160 21 26 617 374
330992 21 85 494 328
331358 20 9 322 228
334152 43 64 517 364
332853 6 4 493 358
331989 1 31 398 354
334868 25 54 487 450
331184 2 58 447 452
335135 3 42 495 326
331277 31 9 526 445
334817 100 52 569 395
331833 14 6 582 390
331195 42 6 440 367
331706 37 45 479 449
333262 9 6 348 247
331787 9 6 600 402
333932 46 7 549 413
331163 23 21 537 411
330848 7 5 606 399
331399 5 106 388 508
331378 5 9 552 432
333479 9 48 261 316
331009 34 27 524 398
333130 4 11 470 354
331159 41 59 519 409
332100 91 66 501 377
335042 70 4 624 349
332095 33 186 379 515
331413 7 139 496 483
331256 22 25 562 402
334279 17 36 253 319
335166 18 12 567 423
331223 12 132 420 528
333364 45 8 587 410
334778 10 25 479 464
331453 19 7 553 422
332424 3 17 476 403
334649 15 25 597 395
331810 13 21 367 284
331390 28 25 515 418
335049 9 37 551 429
332669 6 54 406 289
334901 5 3 567 418
334409 24 12 566 396
330938 2 5 386 319
331102 19 19 571 422
333488 50 45 534 394
334653 18 14 471 479
334209 14 19 558 420
332757 41 201 345 485
332809 13 96 470 371
331269 6 186 393 479
335069 68 21 557 400
333630 27 72 474 477
331693 6 6 506 387
330968 5 98 453 485
331717 6 71 391 369
331839 1 45 456 508
331117 7 18 441 305
332052 73 32 524 409
331747 16 86 511 349
332048 39 151 446 447
334756 10 49 614 371
334375 25 46 383 465
331867 51 39 575 377
330909 82 46 453 404
331124 47 85 515 404
333368 5 139 403 557
334033 3 10 608 399
331367 24 15 581 394
331902 7 10 499 411
331995 9 12 490 365
330959 29 3 467 299
335147 21 20 609 403
331869 28 25 553 402
331682 78 16 368 281
340340 9 142 467 483
334475 38 25 558 394
330984 50 99 504 377
331951 13 37 517 369
331307 84 54 516 329
