img x1 y1 x2 y2
37550 13 13 294 218
37551 2 3 268 234
37554 31 3 306 180
37556 32 19 280 214
37561 0 5 153 110
37566 8 13 310 201
37567 21 2 303 235
37568 18 21 316 202
37569 7 6 289 234
37571 8 6 317 189
37572 30 22 274 216
37613 19 15 283 210
37623 11 9 319 195
50103 15 20 308 229
50116 93 60 303 204
50248 4 9 313 221
50394 16 33 284 219
50403 9 44 309 233
50411 59 25 277 222
50441 27 6 304 230
50532 0 4 300 239
50594 25 59 236 220
90236 16 19 308 194
90307 28 18 301 211
90315 2 30 246 231
90371 15 49 188 205
90417 1 4 318 220
90475 13 7 300 188
90501 113 3 317 231
90510 13 10 318 211
90547 10 10 316 182
90558 8 24 309 194
90614 25 44 235 227
90619 65 7 301 191
90632 12 10 288 180
90640 18 39 258 222
90686 13 7 315 236
90712 21 14 284 221
90791 3 6 300 220
90837 15 8 306 228
90857 38 6 298 235
90868 21 36 300 227
90961 8 10 297 215
90987 15 13 311 225
91053 27 37 280 213
91064 43 11 196 124
91079 31 8 318 198
91236 12 7 305 210
91311 14 27 174 219
91390 31 14 309 235
91435 3 41 311 214
91565 49 37 285 207
91571 22 11 299 212
91656 21 1 313 226
91662 26 15 287 203
91675 9 5 210 224
91694 14 8 313 232
91720 45 24 257 209
91805 23 5 301 217
91815 7 6 304 230
91859 18 14 303 205
91875 31 9 306 202
91898 2 41 314 173
91909 47 37 294 219
91949 8 3 258 209
91992 6 5 232 184
92443 51 23 256 195
92506 133 93 311 216
92585 1 49 300 213
92632 3 58 290 196
92677 4 61 278 230
92680 21 79 282 182
93147 37 37 241 222
93187 33 13 286 225
93201 28 108 301 233
93220 48 2 308 231
93266 100 22 313 219
93290 10 32 307 218
93407 7 60 234 236
93470 35 14 251 216
143197 71 6 301 229
143214 18 13 304 223
143232 15 40 261 224
143239 112 5 226 218
143242 33 37 284 197
143244 0 47 235 226
143266 9 15 306 212
143268 7 31 290 209
143294 10 11 311 229
143307 26 21 315 205
143316 1 2 319 237
143321 42 36 317 203
143343 15 23 285 216
143407 32 44 289 200
143416 37 38 282 204
143428 3 1 312 229
143434 42 13 317 218
143442 15 9 303 222
143470 6 2 295 233
143471 31 28 296 215
143501 9 23 290 194
143539 58 37 283 199
143558 20 16 124 77
143559 6 14 310 209
143566 9 3 310 225
143598 42 43 271 203
143608 25 23 294 235
143630 7 8 315 220
143634 14 8 296 223
143637 9 15 292 194
143643 1 0 145 108
143653 30 39 262 228
143672 85 15 309 205
