img x1 y1 x2 y2
40285 23 33 478 470
36174 18 33 538 423
38185 3 2 498 487
105391 7 62 460 477
104173 18 18 470 480
66311 12 18 567 420
105400 14 22 484 479
104165 7 9 492 364
104930 14 3 436 295
145042 11 5 610 395
104005 22 20 378 356
145261 21 66 481 443
105855 5 15 591 397
145315 20 14 487 487
144640 12 6 485 370
104146 19 31 572 368
111602 24 163 413 558
145312 10 31 478 485
38283 51 45 454 431
145556 23 43 464 477
106160 71 44 563 364
105986 32 8 545 402
104498 37 16 493 328
107697 9 12 421 561
144803 3 7 562 427
111115 93 60 493 456
36066 11 10 395 295
145195 4 16 492 489
104068 16 18 501 456
66303 14 5 505 340
111087 39 70 465 433
145743 6 105 423 562
38513 14 16 549 418
40282 1 2 396 290
36125 34 28 579 374
108433 12 10 482 489
106878 23 9 531 407
108247 1 87 498 475
109035 2 4 430 569
145636 5 9 567 427
145327 50 50 454 439
145144 9 9 430 543
145436 4 2 493 485
145105 40 75 465 427
105412 25 19 551 418
144763 6 3 487 365
106945 117 14 566 416
38643 50 66 465 391
106678 192 56 437 415
106609 6 12 426 562
145213 6 36 419 540
144602 37 7 557 429
106071 16 12 564 418
145222 14 110 496 493
110688 1 66 496 495
109168 25 29 482 472
108576 18 30 537 414
144728 9 27 569 403
109044 71 77 393 431
37618 43 18 513 400
104124 38 15 546 384
106397 26 8 630 347
104148 13 6 581 395
104688 21 14 557 409
109232 6 68 489 493
145644 10 27 487 485
36205 13 15 469 351
109105 4 4 498 452
105228 36 68 542 402
105453 16 7 569 405
105680 35 15 561 390
36221 23 18 548 396
145229 20 18 475 477
145212 34 50 487 475
144966 9 25 549 411
36025 10 9 562 418
105653 1 10 573 429
105282 23 21 426 564
145754 31 27 468 466
108859 6 51 499 487
103969 1 8 498 497
145183 18 60 493 429
104647 9 17 598 396
39460 4 6 487 472
110635 10 37 489 485
144866 1 2 498 483
108189 6 12 490 493
111418 43 3 513 366
145736 4 18 496 487
39276 4 28 429 512
106195 32 36 533 400
144768 10 14 492 368
104065 22 29 591 345
144591 3 16 564 429
104002 6 31 481 487
107473 55 36 537 415
36183 9 8 577 393
106735 10 10 551 416
105269 4 14 490 493
145344 9 25 478 493
39510 27 27 539 396
40279 6 7 495 373
36228 12 7 573 401
145617 7 12 484 485
