img x1 y1 x2 y2
314770 3 16 487 466
314396 6 8 490 489
244458 30 18 579 392
314550 137 62 462 458
243004 39 15 482 359
314231 17 14 471 477
313177 31 45 457 422
314922 37 21 553 402
270619 81 21 495 409
240580 64 14 530 418
315307 15 85 482 483
313794 4 4 495 493
243787 42 32 451 357
270631 103 22 440 302
270622 3 20 393 485
313914 6 108 493 450
314905 6 22 476 437
242938 37 52 467 445
315007 12 25 495 402
313686 9 18 485 477
315082 15 12 492 493
243645 27 52 251 270
240320 36 19 531 409
241004 30 19 510 424
242869 11 33 390 573
314158 17 12 479 470
314680 12 33 492 435
314926 48 35 459 412
314097 10 4 479 479
243596 16 19 528 400
313841 10 22 484 464
241181 39 20 426 351
315024 43 35 454 456
313679 25 35 493 479
244354 22 23 583 385
315192 23 31 457 470
314691 14 35 478 477
313851 26 18 479 485
244173 14 16 275 275
313352 10 33 412 545
270613 10 16 555 420
244186 63 25 545 377
314619 25 41 485 483
314059 18 52 454 477
315148 53 122 465 491
314117 6 27 495 487
314209 21 25 471 485
314227 15 18 489 462
313771 10 16 526 362
243770 12 28 548 418
314046 12 56 470 450
314898 4 14 492 481
314093 12 18 478 481
243584 59 27 539 407
241500 39 28 549 405
243638 3 11 291 290
313209 10 7 558 416
314113 54 75 512 416
244091 9 29 467 360
242789 19 16 553 400
314653 31 35 476 481
240826 26 25 345 257
314447 21 58 473 472
313386 40 20 588 335
313761 7 31 489 472
243762 18 5 549 423
270618 1 5 398 291
270614 11 8 392 287
242909 21 16 388 299
313458 31 41 475 468
270617 23 23 564 414
313901 14 27 459 462
313363 28 9 606 381
313490 10 12 476 470
314741 10 10 487 485
314150 9 16 471 475
314631 18 137 478 479
313528 14 37 482 475
314250 23 52 489 477
243523 1 25 482 472
314720 23 12 481 452
270645 25 18 560 414
270609 47 11 546 391
314019 7 14 471 468
270610 32 25 540 418
242913 41 16 551 402
243984 17 10 569 386
313396 22 22 620 378
270638 34 63 571 405
243613 8 11 289 293
270660 16 10 548 414
270659 21 24 510 301
239926 70 9 549 411
270637 11 10 572 409
313865 14 25 485 466
244269 15 43 489 469
314170 20 29 470 481
314320 18 10 482 462
314935 32 70 481 460
315294 10 12 482 483
315029 53 56 467 450
314006 4 29 464 487
314023 7 29 485 464
