img x1 y1 x2 y2
98628 2 117 404 586
98275 3 15 298 286
22030 20 14 489 485
98322 5 0 566 407
20351 16 45 521 404
97933 19 22 596 397
98436 11 28 606 384
97881 4 21 446 419
17326 30 1 564 427
75523 3 12 487 439
98459 1 36 426 528
17438 20 7 569 414
98253 29 19 478 401
17542 12 16 423 514
18424 2 122 430 493
97992 11 8 605 340
98674 31 17 507 443
73741 45 60 485 368
71007 3 35 403 596
98016 45 20 593 384
98601 5 9 537 405
98472 43 19 459 288
19678 42 66 484 420
71776 3 32 492 373
98593 5 3 536 356
76269 3 4 495 493
98535 19 25 539 406
98207 0 45 430 567
74025 70 72 420 427
22314 13 17 598 399
98476 3 6 408 294
98368 1 16 562 433
74689 26 22 481 479
71486 9 11 596 401
97912 30 13 528 428
98442 26 7 449 354
22209 5 18 530 431
19687 37 26 420 514
98145 16 6 453 317
74586 28 35 484 481
71432 26 29 547 422
18104 10 58 484 481
19189 28 10 476 375
74263 0 74 429 570
98846 0 1 558 278
19452 13 8 590 397
18099 29 29 464 462
98823 7 54 595 388
98490 39 3 558 418
98318 15 42 417 274
98560 7 1 610 391
71329 31 54 448 356
98729 7 7 571 423
70583 82 39 485 379
70530 32 6 476 345
70791 16 5 515 456
71119 3 61 606 404
75886 20 29 479 470
98234 9 7 542 405
98576 29 56 463 419
71045 21 23 414 451
71787 18 3 557 422
74632 9 77 481 437
98640 32 18 557 418
98519 25 21 553 404
22331 21 8 535 404
19379 86 41 467 369
17621 61 16 560 420
71231 18 6 470 343
22275 5 3 548 400
98126 1 28 602 402
71662 26 20 462 359
98330 9 1 575 402
98356 2 2 688 354
98290 12 14 492 323
76943 9 33 419 549
22340 103 20 470 379
98653 3 24 473 361
74183 10 9 568 417
98890 2 1 317 292
19287 10 31 489 485
97935 9 11 602 396
19281 5 5 573 425
21595 7 12 522 427
98137 3 1 608 384
98265 20 12 485 479
98501 24 5 556 398
22335 1 1 596 397
98609 6 30 492 394
22310 28 14 549 404
98221 13 5 383 247
19594 16 81 427 531
97947 1 11 619 393
77138 1 8 597 410
98422 51 22 604 401
98023 19 15 455 297
98602 81 15 513 377
98700 10 3 540 431
76418 6 6 481 435
98902 10 6 397 299
75619 77 45 470 409
17722 21 30 548 422
