img x1 y1 x2 y2
337254 18 17 476 373
337822 35 27 482 454
337321 9 12 571 385
337730 1 1 408 317
337202 7 6 555 381
337660 30 6 383 284
337982 15 56 492 452
337743 155 81 430 312
338084 1 40 574 410
338069 113 36 495 393
337917 34 3 537 402
336993 29 28 555 404
337958 10 9 490 359
337600 66 28 508 331
337815 40 21 363 269
337752 34 9 343 275
337929 36 10 614 354
337419 6 5 435 299
337169 20 13 572 406
337166 5 150 399 571
337504 14 52 376 405
337697 110 81 353 251
338046 10 16 496 475
337359 48 223 366 528
337945 36 36 546 409
337729 8 42 264 217
341506 81 87 481 460
337091 57 39 448 357
337313 9 21 419 322
337354 28 17 499 448
337685 36 24 417 361
337966 32 20 487 472
340404 93 36 410 295
337913 109 110 363 430
337123 124 54 394 309
336994 89 18 569 379
337357 5 2 553 348
337747 1 2 376 285
337003 54 16 540 413
340414 112 28 578 368
340475 133 65 408 313
337183 29 52 468 419
337550 41 82 410 514
337180 17 16 549 358
337358 48 181 358 511
337943 166 69 606 396
337922 7 3 598 406
337284 16 5 554 333
337520 99 51 473 329
337665 6 74 428 538
337000 92 240 394 528
337381 14 192 419 509
337780 9 149 428 545
338064 106 89 446 397
337979 96 52 443 367
337664 17 108 325 274
336996 34 5 510 398
338045 26 14 495 487
337246 9 56 500 368
337569 118 26 458 366
337329 100 39 515 411
337673 21 37 442 332
337208 9 55 484 491
337727 5 5 397 260
337108 9 1 598 383
337968 9 21 575 369
337980 3 3 610 334
337021 10 34 474 501
337817 59 28 539 411
337161 3 11 498 443
337904 46 10 571 425
337122 3 46 510 405
337672 18 60 267 318
337301 17 41 441 446
338003 3 6 493 327
337769 34 91 424 514
337680 49 16 496 422
336995 25 36 559 396
337767 26 22 415 333
337257 4 35 463 516
337213 15 2 383 297
337617 31 8 381 285
337239 30 17 559 373
337033 23 87 495 461
337221 20 10 565 415
337263 14 40 506 352
337778 10 170 423 555
337270 95 50 379 281
337776 25 9 368 269
337957 4 8 496 384
337152 20 44 338 344
337719 27 139 480 480
341504 21 18 482 485
337960 24 15 583 397
337988 39 29 487 326
340407 51 23 473 307
338010 135 61 590 402
337297 8 9 427 560
337055 1 135 404 573
337628 36 4 491 332
337064 26 22 584 381
337205 15 76 441 475
337830 16 107 425 563
338040 37 4 473 343
337157 66 50 544 377
337625 1 20 584 339
338020 46 56 474 389
340482 32 63 473 447
337225 8 3 524 464
337494 5 27 574 423
340428 4 20 493 331
337028 105 255 398 536
337012 12 17 487 331
338058 50 28 588 357
338065 3 8 496 328
